,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_2_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_8_normalized,smart_9_normalized,smart_10_normalized,smart_11_normalized,smart_12_normalized,smart_13_normalized,smart_15_normalized,smart_22_normalized,smart_183_normalized,smart_184_normalized,smart_187_normalized,smart_188_normalized,smart_189_normalized,smart_190_normalized,smart_191_normalized,smart_192_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_196_normalized,smart_197_normalized,smart_198_normalized,smart_199_normalized,smart_200_normalized,smart_201_normalized,smart_220_normalized,smart_222_normalized,smart_223_normalized,smart_224_normalized,smart_225_normalized,smart_226_normalized,smart_240_normalized,smart_241_normalized,smart_242_normalized,smart_250_normalized,smart_251_normalized,smart_252_normalized,smart_254_normalized,smart_255_normalized
6990,2016-01-01,WD-WCC4M7FXTU0L,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,97,100,100.0,100,,,,,,,,,,,200.0,200.0,122.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
7148,2016-01-01,WD-WCC4M6JXYJHU,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,200,,93,100,100.0,100,,,,,,,,,,,200.0,200.0,129.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
7457,2016-01-01,WD-WCC4M6JXY1X9,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,93,100,100.0,100,,,,,,,,,,,200.0,200.0,115.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
8035,2016-01-01,WD-WCC4MHKFSKJV,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,91,100,100.0,100,,,,,,,,,,,200.0,200.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
9000,2016-01-01,WD-WCC4MHKFSX32,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,91,100,100.0,100,,,,,,,,,,,200.0,200.0,123.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
9016,2016-01-01,WD-WCC4M3TTX8DK,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,96,100,100.0,100,,,,,,,,,,,200.0,200.0,129.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
9422,2016-01-01,WD-WCC4M3TTX5A0,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,120.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
9511,2016-01-01,WD-WCC4M6JXYVF6,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,200,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
9814,2016-01-01,WD-WCC4M7UYXZJ3,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,93,100,100.0,100,,,,,,,,,,,200.0,200.0,116.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
10104,2016-01-01,WD-WMC4M2889354,WDC WD20EFRX,9.88328391275e-312,0,200,,174,100,200,100,,81,100,100.0,100,,,,,,,,,,,200.0,200.0,127.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
10118,2016-01-01,WD-WCC4MDVJ8FKU,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,89,100,100.0,100,,,,,,,,,,,200.0,200.0,119.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
10316,2016-01-01,WD-WCC4M1NADYE2,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,97,100,100.0,100,,,,,,,,,,,200.0,200.0,126.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
10422,2016-01-01,WD-WCC4MPP407ML,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,89,100,100.0,100,,,,,,,,,,,200.0,200.0,122.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
10686,2016-01-01,WD-WCC4M6JXY3RZ,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,119.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
11890,2016-01-01,WD-WCC4M6JXYVUR,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,122.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
12145,2016-01-01,WD-WCC4M6XLPUYT,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,200,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,131.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
12511,2016-01-01,WD-WCC4M7FXT4V4,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,98,100,100.0,100,,,,,,,,,,,200.0,200.0,118.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
12750,2016-01-01,WD-WCC4M54TT0A3,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,89,100,100.0,100,,,,,,,,,,,200.0,200.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
13217,2016-01-01,WD-WCC4M7UYXP88,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,93,100,100.0,100,,,,,,,,,,,200.0,200.0,126.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
13660,2016-01-01,WD-WMC4M2932620,WDC WD20EFRX,9.88328391275e-312,0,200,,172,100,200,100,,86,100,100.0,100,,,,,,,,,,,200.0,200.0,124.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
14123,2016-01-01,WD-WCC4M3TTXNSN,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,96,100,100.0,100,,,,,,,,,,,200.0,200.0,118.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
14657,2016-01-01,WD-WMC4M2932477,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,85,100,100.0,100,,,,,,,,,,,200.0,200.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
15587,2016-01-01,WD-WCC4MNFANCTZ,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,128.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
16755,2016-01-01,WD-WCC4M3377445,WDC WD20EFRX,9.88328391275e-312,0,200,,186,100,200,200,,86,100,100.0,100,,,,,,,,,,,200.0,200.0,109.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
16794,2016-01-01,WD-WCC4M6JXYNZZ,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,118.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
17067,2016-01-01,WD-WCC4M3378418,WDC WD20EFRX,9.88328391275e-312,0,200,,183,100,200,100,,86,100,100.0,100,,,,,,,,,,,200.0,200.0,124.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
17106,2016-01-01,WD-WMC4M2932082,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,80,100,100.0,100,,,,,,,,,,,200.0,200.0,119.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
17330,2016-01-01,WD-WCC4M7FXTD1R,WDC WD20EFRX,9.88328391275e-312,0,200,,167,100,200,100,,96,100,100.0,100,,,,,,,,,,,200.0,200.0,129.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
17466,2016-01-01,WD-WCC4M7DL74LE,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,96,100,100.0,100,,,,,,,,,,,200.0,200.0,113.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
18180,2016-01-01,WD-WCC4MJPUYVU3,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,88,100,100.0,100,,,,,,,,,,,200.0,200.0,123.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
18274,2016-01-01,WD-WCC4M6JXYVPD,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,200,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,120.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
19709,2016-01-01,WD-WMC4N2049295,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,132.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
19866,2016-01-01,WD-WCC4MNDZA7P3,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,89,100,100.0,100,,,,,,,,,,,200.0,200.0,114.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
20367,2016-01-01,WD-WCC4M1NADUAP,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,97,100,100.0,100,,,,,,,,,,,200.0,200.0,120.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
20625,2016-01-01,WD-WCC4M7FXTY17,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,97,100,100.0,100,,,,,,,,,,,200.0,200.0,115.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
21161,2016-01-01,WD-WCC4MEX549AA,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,89,100,100.0,100,,,,,,,,,,,200.0,200.0,128.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
21220,2016-01-01,WD-WCC4M76LYVC3,WDC WD20EFRX,9.88328391275e-312,0,200,,168,100,200,100,,86,100,100.0,100,,,,,,,,,,,200.0,200.0,129.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
22011,2016-01-01,WD-WMC4M2932590,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,85,100,100.0,100,,,,,,,,,,,200.0,200.0,126.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
23419,2016-01-01,WD-WCC4MDVJ8RND,WDC WD20EFRX,9.88328391275e-312,0,200,,191,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,128.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
23880,2016-01-01,WD-WCC4MP2AT54F,WDC WD20EFRX,9.88328391275e-312,0,200,,174,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
25636,2016-01-01,WD-WCC4M7UYX3ZY,WDC WD20EFRX,9.88328391275e-312,0,200,,175,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,116.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
25715,2016-01-01,WD-WCC4M54TT9S4,WDC WD20EFRX,9.88328391275e-312,0,200,,173,100,200,100,,89,100,100.0,100,,,,,,,,,,,200.0,200.0,122.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
25744,2016-01-01,WD-WCC4MHKFS6NZ,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,91,100,100.0,100,,,,,,,,,,,200.0,200.0,128.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
25857,2016-01-01,WD-WCC4MDCFR4FE,WDC WD20EFRX,9.88328391275e-312,0,200,,175,100,200,100,,91,100,100.0,100,,,,,,,,,,,200.0,200.0,120.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
25897,2016-01-01,WD-WCC4M2TEA3P4,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,117.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
26403,2016-01-01,WD-WCC4MJAJF7LP,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,122.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
26799,2016-01-01,WD-WCC4M6EFN22D,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,200,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,130.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
26922,2016-01-01,WD-WCC4MR30PZJ0,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,88,100,100.0,100,,,,,,,,,,,200.0,200.0,117.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
26973,2016-01-01,WD-WCC4M0PT9XXZ,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,200,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,119.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
27118,2016-01-01,WD-WCC4M6JXYCDL,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,115.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
27259,2016-01-01,WD-WCC4MLC96D69,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,89,100,100.0,100,,,,,,,,,,,200.0,200.0,117.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
28964,2016-01-01,WD-WCC4MRDT3R18,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,129.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
29210,2016-01-01,WD-WMC4M2889644,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,80,100,100.0,100,,,,,,,,,,,200.0,200.0,124.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
30233,2016-01-01,WD-WMC4M2935768,WDC WD20EFRX,9.88328391275e-312,0,200,,175,100,200,200,,88,100,100.0,100,,,,,,,,,,,200.0,200.0,115.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
30285,2016-01-01,WD-WCC4MKDL77ZK,WDC WD20EFRX,9.88328391275e-312,1,200,,100,100,200,100,,88,100,100.0,100,,,,,,,,,,,200.0,200.0,120.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
32478,2016-01-01,WD-WCC4M7DL7J2V,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,128.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
32709,2016-01-01,WD-WCC4M3TTX5X3,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,96,100,100.0,100,,,,,,,,,,,200.0,200.0,120.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
32726,2016-01-01,WD-WCC4M3TTX5XK,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,200,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,128.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
33333,2016-01-01,WD-WCC4M3HF7JY1,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,128.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
34718,2016-01-01,WD-WCC4MDCFRDSK,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,200,,91,100,100.0,100,,,,,,,,,,,200.0,200.0,128.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
34859,2016-01-01,WD-WCC4M3TTXX9Z,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,99,100,100.0,100,,,,,,,,,,,200.0,200.0,118.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
35445,2016-01-01,WD-WCC4M7FXTHUN,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,124.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
35451,2016-01-01,WD-WCC4M6XLP1Z7,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,200,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,114.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
36104,2016-01-01,WD-WCC4M6JXY9F2,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,200,,93,100,100.0,100,,,,,,,,,,,200.0,200.0,111.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
36466,2016-01-01,WD-WCC4MNFANCTS,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,91,100,100.0,100,,,,,,,,,,,200.0,200.0,120.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
36633,2016-01-01,WD-WMC4M2932705,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,200,,80,100,100.0,100,,,,,,,,,,,200.0,200.0,120.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
37045,2016-01-01,WD-WCC4MJAJFEDS,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,130.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
37172,2016-01-01,WD-WCC4M7FXTFFN,WDC WD20EFRX,9.88328391275e-312,0,200,,172,100,200,100,,96,100,100.0,100,,,,,,,,,,,200.0,200.0,122.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
37287,2016-01-01,WD-WCC4M0JY6Y3A,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,124.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
37295,2016-01-01,WD-WCC4M7DL72K5,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,96,100,100.0,100,,,,,,,,,,,200.0,200.0,129.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
37350,2016-01-01,WD-WCC4M6JXYHXU,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,93,100,100.0,100,,,,,,,,,,,200.0,200.0,118.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
38128,2016-01-01,WD-WCC4N0872028,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,97,100,100.0,100,,,,,,,,,,,200.0,200.0,122.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
38134,2016-01-01,WD-WCC4M7DL70H4,WDC WD20EFRX,9.88328391275e-312,0,200,,168,100,200,100,,96,100,100.0,100,,,,,,,,,,,200.0,200.0,126.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
38145,2016-01-01,WD-WCC4MNFAN61N,WDC WD20EFRX,9.88328391275e-312,0,200,,175,100,200,100,,91,100,100.0,100,,,,,,,,,,,200.0,200.0,118.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
40724,2016-01-01,WD-WCC4M1PCL5XJ,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,93,100,100.0,100,,,,,,,,,,,200.0,200.0,116.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
41420,2016-01-01,WD-WCC4M7DL7JZ3,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,122.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
41466,2016-01-01,WD-WCC4MKCL6TP9,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,123.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
42036,2016-01-01,WD-WCC4MNFANP5C,WDC WD20EFRX,9.88328391275e-312,0,200,,175,100,200,100,,89,100,100.0,100,,,,,,,,,,,200.0,200.0,123.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
43354,2016-01-01,WD-WMC4M2891720,WDC WD20EFRX,9.88328391275e-312,0,200,,171,100,200,100,,85,100,100.0,100,,,,,,,,,,,200.0,200.0,118.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
43720,2016-01-01,WD-WCC4M6JXY2H5,WDC WD20EFRX,9.88328391275e-312,0,200,,184,100,200,100,,94,100,100.0,100,,,,,,,,,,,200.0,199.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
44120,2016-01-01,WD-WCC4M7UYXYA3,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,93,100,100.0,100,,,,,,,,,,,200.0,200.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
44916,2016-01-01,WD-WCC4M3HF70JK,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,96,100,100.0,100,,,,,,,,,,,200.0,200.0,123.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
45001,2016-01-01,WD-WCC4M0JY6PA2,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,128.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
45271,2016-01-01,WD-WMC4M2932562,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,200,,85,100,100.0,100,,,,,,,,,,,200.0,200.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
45320,2016-01-01,WD-WCC4M7DL7ZEJ,WDC WD20EFRX,9.88328391275e-312,0,200,,174,100,200,100,,96,100,100.0,100,,,,,,,,,,,200.0,200.0,119.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
45459,2016-01-01,WD-WCC4MJAJF5ND,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,91,100,100.0,100,,,,,,,,,,,200.0,200.0,127.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
45519,2016-01-01,WD-WMC4M2936083,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,85,100,100.0,100,,,,,,,,,,,200.0,200.0,123.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
46390,2016-01-01,WD-WCC4M7FXTAT5,WDC WD20EFRX,9.88328391275e-312,0,200,,188,100,200,100,,97,100,100.0,100,,,,,,,,,,,200.0,200.0,121.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
46624,2016-01-01,WD-WCC4M3377402,WDC WD20EFRX,9.88328391275e-312,0,200,,170,100,200,100,,86,100,100.0,100,,,,,,,,,,,200.0,200.0,123.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
46791,2016-01-01,WD-WCC4MP4L4S27,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,89,100,100.0,100,,,,,,,,,,,200.0,200.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
